시간, 시가, 종가, 고가, 저가, WP, 거래량, Width, 5mWidth, 10mWidth, DI+, DI-, 20mLowOpen, 20mSMA, SD, MFI, %D(5), MACD, 외인, 기관, 외인7m, 기관7m, 외인+기관9m, 미결제량, 미결제변화, basis, basis_mean, UpdateHigh, UpdateLow, LR, HR, HF, LF, Min30m, Time, Max30m, Time,,,,,
90100,294.3,293.95,294.55,293.9,294.087,5532,-0.349976,0,0,0,0,0,294.087,0,0,0,0,14,226,0,0,0,316432,858,-0.03,-0.03,0,0,0,0,0,0,0,0,0,0,,,,,
90200,293.95,293.95,294,293.8,293.925,2707,0,0,0,0,0,0,293.925,0,0,0,-0.0140686,-668,434,0,0,0,317032,600,0.03,0,0,0,0,0,0,0,0,0,0,0,,,,,
90300,293.95,294.05,294.2,293.8,294.025,2917,0.0999756,0,0,0,0,0,294.025,0,0,0,-0.0155945,-563,486,0,0,0,317300,268,0.25,0.0833333,0,0,0,0,0,0,0,0,0,0,,,,,
90400,294,293.9,294,293.85,293.913,1435,-0.100006,0,0,0,0,0,293.913,0,0,0,-0.0261841,-693,270,0,0,0,317830,530,0.2,0.1125,0,0,0,0,0,0,0,0,0,0,,,,,
90500,293.9,294.15,294.25,293.8,294.087,1961,0.25,0,0,0,0,0,294.087,0,0,0,-0.0184021,-702,280,0,0,0,317700,-130,-0.04,0.082,0,0,0,0,0,0,0,0,0,0,,,,,
90600,294.15,294.35,294.35,294.05,294.275,1818,0.200012,0,0,0,0,0,294.275,0,0,0,0.00390625,-295,211,0,0,0,317379,-321,-0.1,0.0516667,0,0,0,0,0,0,0,0,0,0,,,,,
90700,294.35,294.35,294.35,294.25,294.325,1395,0,0,0,0,0,0,294.325,0,0,0,0.0246887,-177,122,0,0,0,317211,-168,-0.21,0.0142857,0,0,0,0,0,0,0,0,0,0,,,,,
90800,294.4,294.3,294.5,294.25,294.337,1812,-0.100006,0,0,0,0,0,294.337,0,0,0,0.0407104,91,14,11,-30,0,316934,-277,-0.06,0.005,0,0,0,0,0,0,0,0,0,0,,,,,
90900,294.3,294.15,294.3,294.1,294.175,1343,-0.149994,0,0,0,0,0,294.175,0,0,0,0.0378113,-415,289,36,-20,0,316928,-6,0.09,0.0144444,0,0,0,0,0,0,0,0,0,0,,,,,
91000,294.15,294,294.15,293.95,294.025,1410,-0.149994,0,-0.299988,0,0,0,294.025,0,0,0,0.0220032,-526,306,5,-25,-460,317110,182,0.02,0.015,0,0,0,0,0,0,0,0,0,0,,,,,
91100,294.05,294.25,294.25,294,294.188,1546,0.200012,0,0.25,0.31373,0.156859,0,294.188,0,57.8689,0,0.0239868,27,-131,102,-57,130,316950,-160,-0.04,0.01,0,0,0,0,0,0,0,0,0,0,,,,,
91200,294.25,294.15,294.3,294.15,294.188,1176,-0.100006,0,0.149994,0.340002,0.119995,0,294.188,0,53.4539,0,0.0250854,-255,90,63,-27,-88,316894,-56,0.05,0.0133333,0,0,0,0,0,0,0,0,0,0,,,,,
91300,294.15,294.2,294.3,294.05,294.188,1067,0.0500183,0,0.100037,0.276596,0.170212,0,294.188,0,47.1123,0,0.0254211,-620,439,-46,32,242,316822,-72,0.17,0.0253846,0,0,0,0,0,0,0,0,0,0,,,,,
91400,294.2,294.2,294.25,294.05,294.175,755,0,0,0.200043,0.276592,0.17021,0,294.175,0,52.6794,0,0.0241699,-603,441,-60,45,260,316890,68,-0.05,0.02,0,0,0,0,0,0,0,0,0,0,,,,,
91500,294.2,294.1,294.2,294.05,294.112,874,-0.100006,0,-0.149963,0.195117,0.195117,0,294.112,0,40.1152,51.1699,0.017395,-990,448,-154,62,-458,316769,-121,0.21,0.0326667,0,0,0,0,0,0,0,0,0,0,,,,,
91600,294.05,294.3,294.5,294,294.275,2768,0.25,0,-0.0999756,0.266656,0.177775,0,294.275,0,44.8592,51.0393,0.0261536,-1013,447,-85,22,-511,317094,325,0.12,0.038125,0,0,0,0,0,0,0,0,0,0,,,,,
91700,294.3,294.5,294.5,294.25,294.438,1277,0.200012,0,0.100037,0.24999,0.166665,0,294.438,0,50.1677,61.0393,0.0462952,-1348,350,-117,6,-1103,317443,349,0.07,0.04,0,0,0,0,0,0,0,0,0,0,,,,,
91800,294.5,294.35,294.5,294.3,294.375,682,-0.149994,0,0.0500488,0.191481,0.17021,0,294.375,0,54.8381,64.1557,0.0549927,-1435,298,-208,61,-1011,317303,-140,0.19,0.0483333,0,0,0,0,0,0,0,0,0,0,,,,,
91900,294.3,294.5,294.5,294.25,294.438,1194,0.200012,0,0.400055,0.18749,0.124994,0,294.438,0,65.4758,72.7267,0.0658569,-1676,292,-203,28,-1164,317359,56,0.04,0.0478947,0,0,0,0,0,0,0,0,0,0,,,,,
92000,294.5,294.3,294.5,294.25,294.337,1752,-0.200012,0,0.350037,0.183663,0.0612209,293.9,294.194,0.0384755,63.6521,79.2717,0.0641174,-1745,219,-160,-31,-1422,317363,4,0.18,0.0545,0,0,0,0,0,0,0,0,0,0,,,,,
92100,294.25,294.35,294.35,294.2,294.313,1027,0.100006,0,0.250031,0.148923,0.0850973,293.9,294.206,0.0426708,62.0578,80.5453,0.0595703,-1540,-86,-133,-75,-1461,317501,138,0.31,0.0666667,0,0,0,0,0,0,0,0,0,0,,,,,
92200,294.35,294.45,294.45,294.35,294.425,1136,0.100006,0,0.450043,0.173907,0.0869467,293.9,294.231,0.0595632,71.9133,78.5458,0.0649109,-1679,-105,-98,-79,-1603,317444,-57,-0.12,0.0581818,0,0,0,0,0,0,0,0,0,0,,,,,
92300,294.4,294.45,294.65,294.4,294.488,1312,0.0500183,0,0.450043,0.260853,0.0434667,293.9,294.254,0.0810982,69.1165,77.8469,0.0731506,-1569,-137,-79,-83,-1544,317434,-10,0.03,0.0569565,0,0,0,0,0,0,0,0,0,0,,,,,
92400,294.45,294.55,294.6,294.45,294.537,680,0.0999756,0.110004,0.550018,0.266652,0.044433,293.9,294.285,0.0982892,70.9615,74.7698,0.00901286,-1366,-220,-2,-81,-1044,317400,-34,0.05,0.0566667,1,0,0,0,0,0,0,0,0,0,,,,,
92500,294.55,294.6,294.65,294.5,294.587,433,0.0500183,0.0800049,0.700043,0.288873,0.0444336,294.05,294.31,0.11565,77.7704,81.2322,0.0117432,-1358,-247,11,-77,-1039,317314,-86,-0.09,0.0508,2,0,0,0,0,0,0,0,0,0,,,,,
92600,294.6,294.4,294.6,294.35,294.438,921,-0.200012,0.100006,0.250031,0.174988,0.124985,294.05,294.318,0.119219,63.143,76.1203,0.00346273,-1469,-256,29,-78,-727,317346,32,0.14,0.0542308,2,0,0,0,0,0,0,0,0,0,,,,,
92700,294.4,294.45,294.45,294.35,294.425,731,0.0500183,0.0900085,0.100037,0.189175,0.135118,294.05,294.323,0.121026,60.7909,69.2314,-0.00344238,-1636,-229,15,-64,-728,317404,58,0.15,0.0577778,2,0,0,0,0,0,0,0,0,0,,,,,
92800,294.45,294.4,294.5,294.4,294.425,327,-0.0500183,0.0900085,0.200012,0.228551,0.14284,294.05,294.327,0.123289,63.4217,64.2732,-0.0077718,-1535,-246,0,-22,-397,317581,177,0,0.0557143,2,0,0,0,0,0,0,0,0,0,,,,,
92900,294.4,294.35,294.45,294.3,294.362,721,-0.0499878,0.080011,-0.0499878,0.242398,0.181808,294.05,294.337,0.123455,51.8537,54.017,-0.0124471,-1501,-232,25,-18,-207,317563,-18,-0.02,0.0531034,2,0,0,0,0,0,0,0,0,0,,,,,
93000,294.35,294.4,294.4,294.35,294.387,213,0.0499878,0.0800049,0.200012,0.275835,0.206886,294.05,294.355,0.123604,68.1859,44.4435,-0.0119344,-1476,-235,13,-14,-85,317535,-28,0.15,0.0563333,2,0,14,12,12,10,293.913,3,294.587,24,,,,,
93100,294.4,294.3,294.4,294.3,294.325,323,-0.100006,0.0600037,0,0.285683,0.214295,294.05,294.362,0.123681,58.218,35.5551,-0.0136597,-1419,-255,-7,-5,110,317562,27,-0.05,0.0529032,2,0,13,11,12,11,293.913,3,294.587,24,,,,,
93200,294.35,294.45,294.6,294.35,294.462,1959,0.100006,0.0700012,0,0.312474,0.187507,294.05,294.376,0.125316,63.6708,33.0162,-0.00717366,-947,-385,58,-19,374,317397,-165,0.09,0.0540625,2,0,14,12,11,10,293.913,3,294.587,24,,,,,
93300,294.45,294.5,294.5,294.35,294.462,1150,0.0499878,0.0699951,-3.05E-05,0.199988,0.200008,294.05,294.389,0.126044,69.2727,35.5568,-0.00267741,-1070,-324,57,-9,192,317384,-13,0.03,0.0533333,2,0,14,11,12,10,293.913,3,294.587,24,,,,,
93400,294.45,294.5,294.55,294.45,294.5,833,0.0499878,0.0699951,-0.0500183,0.24136,0.206907,294.05,294.406,0.127785,66.189,40.3193,0.00125732,-1064,-201,81,4,340,317314,-70,0.2,0.0576471,2,0,14,12,11,10,294.025,9,294.587,24,,,,,
93500,294.55,294.5,294.6,294.45,294.513,877,-0.0499878,0.0699951,-0.150024,0.241381,0.206907,294.05,294.426,0.129394,63.8805,44.7642,0.00344238,-930,-280,86,-4,515,317203,-111,0.04,0.0571429,2,0,14,12,11,9,294.025,9,294.587,24,,,,,
93600,294.5,294.25,294.5,294.25,294.313,792,-0.25,0.0999939,-0.200012,0.241381,0.241403,294.25,294.427,0.131081,65.2096,44.7642,-0.0064209,-1095,-181,58,7,589,317177,-26,-0.01,0.0552778,2,0,13,11,12,10,294.025,9,294.587,24,,,,,
93700,294.25,294.25,294.3,294.25,294.263,408,0,0.0799927,-0.250031,0.250005,0.250027,294.25,294.419,0.135339,60.573,36.1915,-0.0141764,-1265,-222,30,1,294,317287,110,0.16,0.0581081,2,0,12,11,13,10,294.025,9,294.587,24,,,,,
93800,294.25,294.3,294.3,294.2,294.275,586,0.0499878,0.0799927,-0.150024,0.214304,0.285739,294.25,294.414,0.139266,68.0422,29.7613,-0.0168009,-1221,-305,28,-7,207,317290,3,0.08,0.0586842,2,0,12,10,13,11,294.025,9,294.587,24,,,,,
93900,294.3,294.25,294.3,294.2,294.25,314,-0.0499878,0.0799927,-0.150024,0.22225,0.22225,294.25,294.404,0.143404,73.2321,20.8316,-0.01698,-1206,-383,-37,0,122,317339,49,0.04,0.0582051,2,0,12,10,12,10,294.025,9,294.587,24,,,,,
94000,294.25,294.2,294.25,294.2,294.213,179,-0.0499878,0.0799927,-0.25,0.22225,0.22225,294.25,294.398,0.144911,69.6866,7.49828,-0.0155477,-1251,-380,-25,-8,43,317363,24,0.09,0.059,2,0,12,10,12,9,294.112,14,294.587,24,,,,,
94100,294.2,294.25,294.25,294.2,294.237,130,0.0499878,0.0399902,-0.100006,0.230802,0.192323,294.2,294.394,0.147818,74.8613,9.99771,-0.0118978,-1232,-383,-24,-26,-283,317348,-15,-0.01,0.0573171,2,0,11,9,12,9,294.112,14,294.587,24,,,,,
94200,294.25,294.2,294.25,294.2,294.213,122,-0.0499878,0.0499878,-0.25,0.0952561,0.238126,294.2,294.384,0.14668,57.0192,9.99771,-0.00985108,-1222,-383,-41,-14,-211,317372,24,0.01,0.0561905,2,0,10,8,12,9,294.112,14,294.587,24,,,,,
94300,294.15,294.15,294.2,294.15,294.163,399,0,0.0399902,-0.299988,0.105282,0.315845,294.15,294.367,0.143173,28.39,4.99886,-0.00976156,-1271,-390,-25,-29,-396,317323,-49,0.04,0.0558139,2,0,10,8,13,9,294.112,14,294.587,24,,,,,
94400,294.15,294.1,294.15,294.05,294.1,337,-0.0499878,0.0399902,-0.399963,0.0526552,0.421114,294.15,294.346,0.142931,25.0452,4.31822,-0.0114095,-1271,-411,0,-27,-472,317313,-10,0.03,0.0552273,2,0,10,8,13,10,294.1,43,294.587,24,,,,,
94500,294.05,294,294.1,294,294.025,380,-0.0499878,0.0399902,-0.399963,0,0.500051,294.05,294.317,0.14398,22.1088,4.31822,-0.0145915,-1326,-408,-15,-14,-458,317327,14,0.09,0.056,2,0,10,8,13,11,294.025,44,294.587,24,,,,,
94600,294,294.15,294.2,294,294.125,907,0.149994,0.0599915,3.05E-05,0.117662,0.294137,294,294.302,0.146886,48.3927,11.8188,-0.00961914,-1219,-400,-1,-2,-132,317378,51,0.15,0.0580435,2,0,10,8,13,10,294.025,44,294.587,24,,,,,
94700,294.15,294.15,294.25,294.15,294.175,512,0,0.0499939,3.05E-05,0.166667,0.277789,294,294.289,0.147308,48.3927,21.8188,-0.00244954,-1000,-438,35,-8,88,317299,-79,0.03,0.0574468,2,0,10,9,13,10,294.025,44,294.587,24,,,,,
94800,294.15,294.1,294.2,294.1,294.125,91,-0.0499878,0.0599915,-0.0999451,0.166661,0.27778,294,294.274,0.148773,36.2702,28.4861,0.000443522,-1034,-460,28,-11,95,317358,59,0.07,0.0577083,2,0,9,9,14,11,294.025,44,294.587,24,,,,,
94900,294.1,294.1,294.15,294.05,294.1,310,0,0.0499939,-0.0499573,0.166655,0.333345,294,294.261,0.152936,40.747,34.6678,0.00113932,-1056,-467,23,-12,108,317325,-33,0.07,0.0579592,2,0,9,9,15,11,294.025,44,294.587,24,,,,,
95000,294.15,294.1,294.15,294.1,294.112,84,-0.0499878,0.0499939,-0.0499573,0.166655,0.333345,294,294.248,0.155581,43.8307,42.6683,0.00133871,-1108,-474,23,-12,33,317336,11,0.26,0.062,2,0,10,9,15,11,294.025,44,294.587,24,,,,,
95100,294.1,294.25,294.3,294.1,294.225,964,0.149994,0.0499939,0.0500488,0.285698,0.285727,294,294.242,0.155558,58.4732,49.3357,0.00680745,-1134,-430,19,-2,41,317220,-116,0.23,0.0652941,2,0,10,10,14,10,294.025,44,294.587,24,,,,,
95200,294.2,294.3,294.3,294.2,294.275,399,0.0999756,0.069989,0.200012,0.272715,0.272742,294,294.233,0.154401,65.2925,59.3357,0.0124593,-878,-487,64,-11,296,317287,67,0.17,0.0673077,2,0,10,9,14,10,294.025,44,294.587,24,,,,,
