시간, 시가, 종가, 고가, 저가, WP, 거래량, 거래량(부호), Width, 5mWidth, 10mWidth, DI+, DI-, 20mLowOpen, 20mSMA, SD, MFI, %D(5), MACD, 외인, 기관, 외인7m, 기관7m, 외인+기관9m, 미결제량, 미결제변화, basis, basis_mean, UpdateHigh, UpdateLow, LR, HR, HF, LF, Min30m, Time, Max30m, Time
90100,292.7,292.8,292.85,292.6,292.762,3211,3211,0.0999756,0,0,0,0,0,292.762,0,0,0,0,175,-469,0,0,0,193972,333,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
90200,292.75,293.05,293.15,292.75,293,2818,2818,0.299988,0,0,0,0,0,293,0,0,0,0.0205688,504,-427,0,0,0,193977,5,-0.09,-0.095,0,0,0,0,0,0,0,0,0,0
90300,293.05,293.1,293.25,293.05,293.125,2167,2167,0.0500183,0,0,0,0,0,293.125,0,0,0,0.0462341,357,-137,0,0,0,194231,254,0.17,-0.00666667,0,0,0,0,0,0,0,0,0,0
90400,293.05,292.95,293.05,292.75,292.925,2833,-2833,-0.0999756,0,0,0,0,0,292.925,0,0,0,0.0471191,18,-145,0,0,0,194216,-15,-0.08,-0.025,0,0,0,0,0,0,0,0,0,0
90500,293,292.85,293,292.8,292.875,989,-989,-0.149994,0,0,0,0,0,292.875,0,0,0,0.0426331,151,-174,0,0,0,194424,208,0.1,1.49E-09,0,0,0,0,0,0,0,0,0,0
90600,292.8,292.9,293.05,292.75,292.9,1370,1370,0.100006,0,0,0,0,0,292.9,0,0,0,0.0407715,108,-165,0,0,0,194488,64,-0.08,-0.0133333,0,0,0,0,0,0,0,0,0,0
90700,292.85,292.8,292.9,292.7,292.8,1010,-1010,-0.0500183,0,0,0,0,0,292.8,0,0,0,0.0300293,219,-160,0,0,0,194382,-106,-0.02,-0.0142857,0,0,0,0,0,0,0,0,0,0
90800,292.75,292.65,292.8,292.65,292.688,858,-858,-0.100006,0,0,0,0,0,292.688,0,0,0,0.0117798,57,-150,-16,45,0,194395,13,-0.04,-0.0175,0,0,0,0,0,0,0,0,0,0
90900,292.65,292.75,292.8,292.65,292.737,1015,1015,0.100006,0,0,0,0,0,292.737,0,0,0,0.00241089,35,-104,-67,46,0,194478,83,-0.04,-0.02,0,0,0,0,0,0,0,0,0,0
91000,292.75,292.6,292.8,292.55,292.638,930,-930,-0.149994,0,0.100006,0,0,0,292.638,0,0,0,-0.0132141,156,-103,-28,4,347,194408,-70,0,-0.018,0,0,0,0,0,0,0,0,0,0
