시간, 시가, 종가, 고가, 저가, WP, 거래량, 거래량(부호), Width, 5mWidth, 10mWidth, DI+, DI-, 20mLowOpen, 20mSMA, SD, MFI, %D(5), MACD, 외인, 기관, 외인7m, 기관7m, 외인+기관9m, 미결제량, 미결제변화, basis, basis_mean, UpdateHigh, UpdateLow, LR, HR, HF, LF, Min30m, Time, Max30m, Time,
90100,297.75,297.65,297.9,297.6,297.7,3658,-3658,-0.100006,0,0,0,0,0,297.7,0,0,0,0,-40,76,0,0,0,286318,1313,0.18,0.18,0,0,0,0,0,0,0,0,0,0,
90200,297.65,297.9,297.9,297.55,297.813,1568,1568,0.25,0,0,0,0,0,297.813,0,0,0,0.00973511,-2,84,0,0,0,286448,130,0.2,0.19,0,0,0,0,0,0,0,0,0,0,
90300,297.9,298.25,298.25,297.9,298.163,3195,3195,0.350006,0,0,0,0,0,298.163,0,0,0,0.0471191,224,207,0,0,0,286854,406,0.14,0.173333,0,0,0,0,0,0,0,0,0,0,
90400,298.25,298.1,298.3,298,298.125,1805,-1805,-0.149994,0,0,0,0,0,298.125,0,0,0,0.0706787,244,250,0,0,0,287028,174,0.41,0.2325,0,0,0,0,0,0,0,0,0,0,
90500,298.05,297.85,298.1,297.75,297.888,3120,-3120,-0.199982,0,0,0,0,0,297.888,0,0,0,0.0663757,185,362,0,0,0,287392,364,0.31,0.248,0,0,0,0,0,0,0,0,0,0,
90600,297.85,297.7,297.9,297.55,297.713,2171,-2171,-0.149994,0,0,0,0,0,297.713,0,0,0,0.046875,90,406,0,0,0,287326,-66,0.12,0.226667,0,0,0,0,0,0,0,0,0,0,
90700,297.65,297.6,297.95,297.55,297.675,2686,-2686,-0.0499878,0,0,0,0,0,297.675,0,0,0,0.0283813,107,437,0,0,0,287413,87,0.09,0.207143,0,1,0,0,0,0,0,0,0,0,
90800,297.65,297.6,297.8,297.55,297.638,2284,-2284,-0.0499878,0,0,0,0,0,297.638,0,0,0,0.0109253,106,466,20,55,0,287313,-100,0.22,0.20875,0,1,0,0,0,0,0,0,0,0,
90900,297.6,297.45,297.75,297.35,297.5,2115,-2115,-0.149994,0,0,0,0,0,297.5,0,0,0,-0.0140991,274,439,39,50,0,287509,196,0.32,0.221111,0,2,0,0,0,0,0,0,0,0,
91000,297.45,297.45,297.55,297.4,297.462,1385,-1385,0,0,-0.249939,0,0,0,297.462,0,0,0,-0.035614,152,470,-10,37,586,287444,-65,0.21,0.22,0,2,0,0,0,0,0,0,0,0,
91100,297.5,297.75,297.75,297.5,297.688,1389,1389,0.25,0,0.100067,0.203132,0.218753,0,297.688,0,34.0963,0,-0.0314331,173,452,-10,28,543,287504,60,0.21,0.219091,0,2,0,0,0,0,0,0,0,0,
91200,297.75,297.7,297.75,297.7,297.713,773,-773,-0.0499878,0,-0.199921,0.224147,0.224136,0,297.713,0,26.5814,0,-0.0256042,154,480,-4,16,203,287457,-47,0.2,0.2175,0,2,0,0,0,0,0,0,0,0,
91300,297.7,297.65,297.8,297.65,297.688,642,-642,-0.0500183,0,-0.599945,0.111119,0.259266,0,297.688,0,9.44508,0,-0.0230103,163,464,10,8,133,287333,-124,0.33,0.226154,0,2,0,0,0,0,0,0,0,0,
91400,297.65,297.7,297.8,297.55,297.688,567,567,0.0500183,0,-0.399933,0.0943514,0.301894,0,297.688,0,14.5265,0,-0.0206909,76,466,-4,4,-5,287369,36,0.12,0.218571,0,2,0,0,0,0,0,0,0,0,
91500,297.7,297.6,297.75,297.55,297.625,444,-444,-0.100006,0,-0.299957,0.100012,0.220007,0,297.625,0,18.1336,39.7722,-0.0240479,30,489,-10,3,23,287416,47,0.37,0.228667,0,2,0,0,0,0,0,0,0,0,
91600,297.65,297.95,297.95,297.6,297.863,1823,1823,0.300018,0,0.150055,0.180017,0.140002,0,297.863,0,36.2093,51.3511,-0.0055542,22,444,-36,0,-78,287394,-22,0.34,0.235625,0,2,0,0,0,0,0,0,0,0,
91700,297.95,297.95,298.05,297.9,297.962,797,-797,0,0,0.200043,0.222225,0.15556,0,297.962,0,48.7551,61.1259,0.0168762,234,363,11,-15,25,287414,20,0.15,0.230588,0,2,0,0,0,0,0,0,0,0,
91800,298,298,298,297.9,297.975,314,314,0,0,0.250031,0.238098,0.166672,0,297.975,0,50.7517,73.382,0.0342712,112,344,-8,-15,-257,287390,-24,0.18,0.227778,0,2,0,0,0,0,0,0,0,0,
91900,297.95,298,298.05,297.95,298,579,579,0.0499878,0,0.450012,0.305556,0.0833489,0,298,0,68.7722,82.5104,0.0487366,34,343,-17,-19,-245,287425,35,0.12,0.222105,0,2,0,0,0,0,0,0,0,0,
92000,298,297.85,298,297.8,297.875,626,-626,-0.149994,0,0.300018,0.297295,0.162191,297.45,297.788,0.0265616,62.2247,86.9049,0.04776,54,345,-15,-17,-226,287362,-63,0.29,0.2255,0,2,0,0,0,0,0,0,0,0,
92100,297.9,298,298.1,297.9,298,940,940,0.100006,0,0.150024,0.249992,0.166695,297.45,297.803,0.0513954,59.4652,83.2684,0.0570679,88,321,1,-20,-225,287423,61,0.14,0.221429,0,2,0,0,0,0,0,0,0,0,
92200,298,297.95,298.05,297.9,297.962,828,-828,-0.0499878,0,0.150024,0.236833,0.157921,297.45,297.81,0.0618572,58.9298,80.6708,0.0597229,21,303,-1,-26,-303,287440,17,0.31,0.225455,0,2,0,0,0,0,0,0,0,0,
92300,297.95,297.85,297.95,297.8,297.862,329,-329,-0.100006,0,0.100037,0.236829,0.184227,297.45,297.795,0.0635665,62.068,73.0085,0.0519714,-23,342,-6,-14,-223,287535,95,0.5,0.237391,0,2,0,0,0,0,0,0,0,0,
