시간, 매수체결량, +속도, 매도체결량, -속도, 잔량, 콜8, 수량8, 풋8, 수량8, 콜경과시간, 콜평균시간, 풋경과시간, 풋평균시간
113702, , , , , -4264, 1.05, 87, 1.37, 47, , , , 
113702, , , , , -4271, 1.05, 87, 1.37, 47, , , , 
113702, , , , , -4271, 1.05, 87, 1.37, 47, , , , 
113705, , , , , -4278, 1.05, 86, 1.37, 47, , , , 
113706, , , , , -4272, 1.05, 86, 1.37, 80, , , , 
113707, , , , , -4273, 1.05, 86, 1.37, 80, , , , 
113708, , , , , -4272, 1.05, 86, 1.37, 80, , , , 
113709, , , , , -4272, 1.05, 86, 1.37, 80, , , , 
113710, , , , , -4274, 1.05, 86, 1.37, 87, , , , 
113711, , , , , -4242, 1.05, 65, 1.37, 87, 0, 0.00, 0, 0.00
113712, , , , , -4266, 1.05, 65, 1.37, 80, 0, 0.00, 0, 0.00
113713, , , , , -4266, 1.05, 75, 1.37, 80, 0, 0.00, 0, 0.00
113714, , , , , -4286, 1.05, 122, 1.37, 66, 0, 0.00, 0, 0.00
113715, , , , , -4348, 1.05, 120, 1.37, 49, 0, 0.00, 0, 0.00
113716, , , , , -4359, 1.05, 120, 1.37, 50, 0, 0.00, 0, 0.00
113717, , , , , -4274, 1.05, 84, 1.37, 67, 0, 0.00, 0, 0.00
113718, , , , , -4271, 1.05, 84, 1.37, 84, 0, 0.00, 0, 0.00
113719, , , , , -4270, 1.05, 84, 1.37, 85, 0, 0.00, 0, 0.00
113720, , , , , -4267, 1.05, 84, 1.37, 85, 0, 0.00, 0, 0.00
113721, , , , , -4300, 1.05, 87, 1.37, 84, 0, 0.00, 0, 0.00
113722, , , , , -4277, 1.05, 65, 1.37, 93, 0, 0.00, 0, 0.00
113723, , , , , -4265, 1.05, 84, 1.37, 95, 0, 0.00, 0, 0.00
113724, , , , , -4260, 1.05, 53, 1.37, 94, 0, 0.00, 0, 0.00
113725, , , , , -4239, 1.05, 33, 1.37, 94, 0, 0.00, 0, 0.00
113726, , , , , -4237, 1.05, 54, 1.37, 94, 0, 0.00, 0, 0.00
113727, , , , , -4268, 1.05, 85, 1.37, 94, 0, 0.00, 0, 0.00
113728, , , , , -4264, 1.05, 85, 1.37, 65, 0, 0.00, 0, 0.00
113729, , , , , -4268, 1.05, 54, 1.37, 91, 0, 0.00, 0, 0.00
113730, , , , , -4252, 1.05, 39, 1.37, 91, 0, 0.00, 0, 0.00
113731, , , , , -4237, 1.06, 161, 1.37, 91, 1, 0.01, 0, 0.00
113732, , , , , -4199, 1.06, 161, 1.36, 20, 1, 0.01, 1, 0.01
113733, , , , , -4167, 1.06, 160, 1.36, 64, 1, 0.01, 1, 0.01
113734, , , , , -4139, 1.06, 125, 1.36, 84, 1, 0.01, 1, 0.01
113735, , , , , -4234, 1.05, 29, 1.36, 50, 2, 0.01, 1, 0.01
113736, , , , , -4248, 1.05, 76, 1.37, 93, 2, 0.01, 2, 0.01
113737, , , , , -4236, 1.05, 24, 1.37, 93, 2, 0.01, 2, 0.01
113738, , , , , -4213, 1.05, 20, 1.37, 93, 2, 0.01, 2, 0.01
113739, , , , , -4195, 1.06, 177, 1.37, 93, 3, 0.01, 2, 0.01
113740, , , , , -4218, 1.05, 2, 1.37, 93, 3, 0.01, 2, 0.01
113741, , , , , -4199, 1.05, 4, 1.37, 93, 3, 0.01, 1, 0.01
113742, , , , , -4208, 1.05, 5, 1.37, 93, 3, 0.01, 1, 0.01
113743, , , , , -4204, 1.05, 5, 1.37, 93, 3, 0.01, 1, 0.01
113744, , , , , -4200, 1.05, 6, 1.37, 93, 2, 0.01, 1, 0.01
113745, , , , , -4216, 1.06, 181, 1.37, 93, 3, 0.01, 0, 0.00
113746, , , , , -4197, 1.06, 181, 1.37, 81, 3, 0.01, 0, 0.00
113747, , , , , -4199, 1.06, 181, 1.37, 81, 3, 0.01, 0, 0.00
113748, , , , , -4205, 1.06, 181, 1.37, 81, 2, 0.01, 0, 0.00
113749, , , , , -4208, 1.06, 181, 1.37, 81, 1, 0.01, 0, 0.00
113750, , , , , -4222, 1.06, 181, 1.37, 81, 1, 0.01, 0, 0.00
113751, , , , , -4231, 1.05, 24, 1.37, 79, 2, 0.01, 0, 0.00
113752, , , , , -4227, 1.05, 24, 1.37, 79, 2, 0.01, 0, 0.00
113753, , , , , -4240, 1.05, 8, 1.37, 79, 2, 0.01, 0, 0.00
113754, , , , , -4242, 1.05, 61, 1.37, 81, 1, 0.01, 0, 0.00
113755, , , , , -4244, 1.05, 49, 1.37, 77, 1, 0.01, 0, 0.00
113756, , , , , -4258, 1.05, 63, 1.37, 79, 1, 0.01, 0, 0.00
113757, , , , , -4258, 1.05, 63, 1.37, 63, 1, 0.01, 0, 0.00
113758, , , , , -4411, 1.05, 105, 1.37, 19, 1, 0.01, 0, 0.00
113759, , , , , -4422, 1.05, 105, 1.37, 48, 1, 0.01, 0, 0.00
113800, , , , , -4431, 1.05, 105, 1.37, 46, 0, 0.00, 0, 0.00
113801, , , , , -4433, 1.05, 137, 1.37, 40, 0, 0.00, 0, 0.00
113802, , , , , -4315, 1.05, 65, 1.37, 16, 0, 0.00, 0, 0.00
113803, , , , , -4323, 1.05, 66, 1.37, 96, 0, 0.00, 0, 0.00
113804, , , , , -4264, 1.05, 3, 1.37, 110, 0, 0.00, 0, 0.00
113805, , , , , -4264, 1.05, 31, 1.37, 113, 0, 0.00, 0, 0.00
113806, , , , , -4302, 1.05, 53, 1.37, 113, 0, 0.00, 0, 0.00
113807, , , , , -4302, 1.05, 69, 1.37, 110, 0, 0.00, 0, 0.00
113808, , , 113, 67, -4449, 1.05, 123, 1.37, 42, 0, 0.00, 0, 0.00
113809, , , 113, 67, -4451, 1.05, 123, 1.37, 31, 0, 0.00, 0, 0.00
113810, , , 113, 67, -4455, 1.05, 123, 1.37, 30, 0, 0.00, 0, 0.00
113811, , , 113, 67, -4458, 1.05, 125, 1.37, 15, 0, 0.00, 0, 0.00
113812, , , 113, 67, -4485, 1.05, 125, 1.37, 1, 0, 0.00, 0, 0.00
113813, , , 113, 67, -4492, 1.05, 167, 1.38, 133, 0, 0.00, 1, 0.01
113814, , , 113, 67, -4490, 1.05, 167, 1.38, 133, 0, 0.00, 1, 0.01
113815, , , 113, 67, -4472, 1.05, 167, 1.37, 17, 0, 0.00, 2, 0.01
113816, , , 113, 67, -4466, 1.05, 131, 1.37, 17, 0, 0.00, 2, 0.01
113817, , , 111, 76, -4438, 1.05, 126, 1.37, 17, 0, 0.00, 2, 0.01
113818, , , 111, 76, -4438, 1.05, 126, 1.37, 52, 0, 0.00, 2, 0.01
113819, , , 111, 76, -4446, 1.05, 126, 1.37, 56, 0, 0.00, 2, 0.01
113820, , , 111, 76, -4323, 1.05, 61, 1.37, 83, 0, 0.00, 2, 0.01
113821, , , 111, 76, -4324, 1.05, 65, 1.37, 99, 0, 0.00, 2, 0.01
113822, , , 111, 76, -4293, 1.05, 28, 1.37, 101, 0, 0.00, 1, 0.01
113823, , , 111, 76, -4303, 1.05, 58, 1.37, 101, 0, 0.00, 1, 0.01
113824, , , 111, 76, -4307, 1.05, 70, 1.37, 101, 0, 0.00, 0, 0.00
113825, , , 110, 83, -4334, 1.05, 74, 1.37, 101, 0, 0.00, 0, 0.00
113826, , , 110, 83, -4326, 1.05, 60, 1.37, 99, 0, 0.00, 0, 0.00
113827, , , 112, 85, -4329, 1.05, 86, 1.37, 99, 0, 0.00, 0, 0.00
113828, , , 115, 73, -4409, 1.05, 132, 1.37, 99, 0, 0.00, 0, 0.00
113829, , , 115, 73, -4414, 1.05, 132, 1.37, 56, 0, 0.00, 0, 0.00
113830, , , 115, 73, -4479, 1.05, 134, 1.37, 56, 0, 0.00, 0, 0.00
113831, , , 115, 73, -4498, 1.05, 170, 1.38, 133, 0, 0.00, 1, 0.01
113832, , , 115, 73, -4494, 1.05, 170, 1.38, 119, 0, 0.00, 1, 0.01
113833, , , 113, 79, -4508, 1.05, 170, 1.38, 91, 0, 0.00, 1, 0.01
113834, , , 113, 79, -4512, 1.05, 170, 1.38, 118, 0, 0.00, 1, 0.01
113835, , , 113, 79, -4514, 1.05, 171, 1.38, 118, 0, 0.00, 1, 0.01
113836, , , 113, 79, -4529, 1.05, 171, 1.38, 118, 0, 0.00, 1, 0.01
113837, , , 113, 79, -4540, 1.05, 171, 1.38, 91, 0, 0.00, 1, 0.01
113838, , , 113, 83, -4533, 1.05, 171, 1.38, 91, 0, 0.00, 1, 0.01
113839, , , 98, 81, -4536, 1.05, 171, 1.38, 91, 0, 0.00, 1, 0.01
113840, , , 98, 81, -4537, 1.05, 171, 1.38, 91, 0, 0.00, 0, 0.00
113841, , , 98, 81, -4560, 1.05, 171, 1.38, 89, 0, 0.00, 0, 0.00
113842, , , 98, 81, -4533, 1.05, 171, 1.38, 69, 0, 0.00, 0, 0.00
113843, , , 99, 82, -4552, 1.05, 171, 1.38, 83, 0, 0.00, 0, 0.00
113844, , , 99, 82, -4560, 1.05, 171, 1.38, 69, 0, 0.00, 0, 0.00
113845, , , 99, 82, -4579, 1.05, 171, 1.38, 73, 0, 0.00, 0, 0.00
113846, , , 99, 82, -4557, 1.05, 171, 1.38, 57, 0, 0.00, 0, 0.00
113847, , , 99, 82, -4555, 1.05, 171, 1.38, 57, 0, 0.00, 0, 0.00
113848, , , 99, 82, -4564, 1.05, 171, 1.38, 57, 0, 0.00, 0, 0.00
113849, , , 99, 82, -4565, 1.05, 171, 1.38, 46, 0, 0.00, 0, 0.00
113850, , , 99, 82, -4566, 1.05, 171, 1.38, 49, 0, 0.00, 0, 0.00
113851, , , 96, 77, -4565, 1.05, 171, 1.38, 51, 0, 0.00, 0, 0.00
113852, , , 95, 64, -4567, 1.05, 171, 1.38, 48, 0, 0.00, 0, 0.00
113853, , , 92, 62, -4571, 1.05, 171, 1.38, 48, 0, 0.00, 0, 0.00
113854, , , 92, 62, -4565, 1.05, 171, 1.38, 78, 0, 0.00, 0, 0.00
113855, , , 89, 62, -4566, 1.05, 171, 1.38, 62, 0, 0.00, 0, 0.00
