시간, 시가, 종가, 고가, 저가,  Width, 20mSMA, 20mSD, 60mSMA, UpdateHigh, UpdateLow, Min30m, Time, Max30m, Time, 외인, 기관, 거래량, 거래량(부호),ResQty
090100, 277.9, 277.75, 278.1, 277.7, -0.149994, 277.085, 0.336305, 276.868, 0, 0, 0, 0, 0, 0, -276, -304, 4573, -4573, 0
090200, 277.75, 277.9, 277.95, 277.55, 0.149994, 277.133, 0.482986, 276.893, 0, 0, 0, 0, 0, 0, -474, -195, 2269, 2269, 0
090300, 277.9, 278.25, 278.25, 277.85, 0.350006, 277.2, 0.673796, 276.925, 0, 0, 0, 0, 0, 0, -225, -355, 2053, 2053, 0
090400, 278.25, 278.35, 278.35, 278.1, 0.100006, 277.272, 0.824305, 276.957, 0, 0, 0, 0, 0, 0, -3, -512, 1541, 1541, 0
090500, 278.35, 278.55, 278.6, 278.3, 0.199982, 277.345, 0.989393, 276.992, 1, 0, 0, 0, 0, 0, -210, -543, 2351, 2351, 0
090600, 278.6, 278.6, 278.7, 278.45, 0, 277.422, 1.11914, 277.027, 2, 0, 0, 0, 0, 0, -231, -552, 2449, 2449, 0
090700, 278.6, 278.5, 278.65, 278.45, -0.100006, 277.492, 1.20178, 277.059, 2, 0, 0, 0, 0, 0, -9, -700, 1159, -1159, 0
090800, 278.5, 278.8, 278.8, 278.35, 0.299988, 277.58, 1.31011, 277.097, 3, 0, 0, 0, 0, 0, -109, -735, 1937, 1937, 0
090900, 278.8, 278.9, 278.9, 278.65, 0.100006, 277.672, 1.40516, 277.137, 4, 0, 0, 0, 0, 0, -210, -695, 1422, 1422, 0
091000, 278.85, 279.15, 279.15, 278.85, 0.299988, 277.775, 1.51772, 277.181, 5, 0, 0, 0, 0, 0, -183, -711, 1951, 1951, 0
091100, 279.15, 278.85, 279.15, 278.85, -0.299988, 277.865, 1.54825, 277.219, 5, 0, 0, 0, 0, 0, -167, -712, 1824, -1824, 0
091200, 278.85, 278.75, 278.9, 278.65, -0.100006, 277.953, 1.5406, 277.253, 5, 0, 0, 0, 0, 0, -261, -662, 983, -983, 0
091300, 278.75, 278.9, 278.9, 278.65, 0.149994, 278.048, 1.52822, 277.291, 5, 0, 0, 0, 0, 0, -150, -733, 945, 945, 0
091400, 278.9, 279, 279.05, 278.85, 0.100006, 278.148, 1.50249, 277.33, 5, 0, 0, 0, 0, 0, -46, -737, 1491, 1491, 0
091500, 279, 279.1, 279.1, 278.95, 0.100006, 278.247, 1.4763, 277.373, 5, 0, 0, 0, 0, 0, -95, -754, 881, 881, 0
091600, 279.05, 279.4, 279.4, 279, 0.350006, 278.363, 1.45906, 277.418, 6, 0, 0, 0, 0, 0, -174, -725, 1810, 1810, 0
091700, 279.35, 279.45, 279.5, 279.3, 0.100006, 278.48, 1.41117, 277.465, 7, 0, 0, 0, 0, 0, -311, -755, 1710, 1710, 0
091800, 279.5, 279.3, 279.5, 279.25, -0.200012, 278.587, 1.31372, 277.508, 7, 0, 0, 0, 0, 0, -317, -752, 1001, -1001, 0
091900, 279.3, 279.3, 279.35, 279.15, 0, 278.695, 1.16957, 277.551, 7, 0, 0, 0, 0, 0, -1054, -188, 1033, 1033, 0
092000, 279.3, 279.25, 279.35, 279.2, -0.0499878, 278.802, 0.935133, 277.592, 7, 0, 0, 0, 0, 0, -706, -343, 670, -670, 0
092100, 279.25, 279.2, 279.35, 279.2, -0.0499878, 278.875, 0.814556, 277.632, 7, 0, 0, 0, 0, 0, -758, -294, 947, -947, 0
092200, 279.2, 279.25, 279.35, 279.1, 0.0499878, 278.942, 0.695179, 277.67, 7, 0, 0, 0, 0, 0, -802, 128, 680, 680, 0
092300, 279.25, 279.35, 279.45, 279.25, 0.100006, 278.997, 0.639121, 277.71, 7, 0, 0, 0, 0, 0, -565, -11, 1201, 1201, 0
092400, 279.35, 279.3, 279.4, 279.25, -0.0500183, 279.045, 0.577842, 277.749, 7, 0, 0, 0, 0, 0, -559, 19, 840, -840, 0
092500, 279.3, 279.25, 279.4, 279.2, -0.0499878, 279.08, 0.537028, 277.788, 7, 0, 0, 0, 0, 0, -481, -52, 753, -753, 0
092600, 279.25, 279.25, 279.35, 279.2, 0, 279.112, 0.493838, 277.828, 7, 0, 0, 0, 0, 0, -308, -211, 707, -707, 0
092700, 279.25, 279.1, 279.3, 279.05, -0.149994, 279.142, 0.406542, 277.864, 7, 0, 0, 0, 0, 0, -282, -232, 886, -886, 0
092800, 279.1, 278.7, 279.15, 278.65, -0.399994, 279.138, 0.425291, 277.894, 7, 0, 0, 0, 0, 0, -295, -243, 2204, -2204, 0
092900, 278.7, 278.85, 278.9, 278.65, 0.149994, 279.135, 0.431389, 277.927, 7, 0, 0, 0, 0, 0, -302, -243, 2146, 2146, 0
093000, 278.85, 279, 279.05, 278.8, 0.149994, 279.128, 0.435283, 277.962, 7, 0, 277.75, 1, 279.45, 17, -547, -92, 855, 855, 0
093100, 279, 278.55, 279.05, 278.2, -0.450012, 279.112, 0.48977, 277.989, 7, 0, 277.9, 2, 279.45, 17, -561, -56, 3917, -3917, 0
093200, 278.55, 278.6, 278.6, 278.5, 0.0500183, 279.105, 0.515653, 278.017, 7, 0, 278.25, 3, 279.45, 17, -491, -65, 678, 678, 0
093300, 278.6, 278.65, 278.7, 278.55, 0.0499878, 279.092, 0.546145, 278.047, 7, 0, 278.35, 4, 279.45, 17, -581, -73, 1102, 1102, 0
