시간, 매수매도, 코드, 가격, 수량
100100, 콜매수1, 201P7282, 1.24, 11
100200, 콜매수1, 201P7282, 1.24, 10
101800, (콜손절1), -0.04, 1.2, 21, 이익: -209999
102400, 풋매수1-2, 301P7272, 1.19, 33
102500, 풋매수1-2, 301P7272, 1.18, 29
105500, (풋손절1), 0.0346775, 1.22, 62, 이익: 537501
131500, 콜매수4, 201P7282, 1.12, 83
131800, 콜매수1, 201P7282, 1.13, 8
131900, 콜매수1, 201P7282, 1.11, 8
133500, (콜손절1), 0.03, 1.15, 99, 이익: 532500
150600, 콜매수1, 201P7282, 1.09, 12
151300, 콜매수1, 201P7282, 1.11, 12
152900, (콜손절1), 0.00999999, 1.11, 24, 이익: 592499
