시간, 시가, 종가, 고가, 저가, %K(5), %D(3), slow %D(3), SMA(20), SD(20)
085500, 359, 358.25, 359.15, 357.9, 99.7494, 33.2498, 11.0833, 17.9125, 156.237
090500, 358.25, 359.75, 360.55, 358.05, 99.7781, 66.5092, 33.253, 35.9, 215.365
091500, 359.8, 362.75, 362.8, 359.25, 99.9862, 99.8379, 66.5323, 54.0375, 256.971
092500, 362.75, 362.4, 363.2, 361.9, 99.7797, 99.848, 88.7317, 72.1575, 288.4
093500, 362.4, 361.45, 362.75, 360.75, 66.9812, 88.9157, 96.2006, 90.23, 312.402
094500, 361.45, 360.7, 361.8, 360.65, 51.4565, 72.7392, 87.1676, 108.265, 330.664
095500, 360.7, 360.15, 361.6, 360.1, 22.7846, 47.0741, 69.5763, 126.273, 344.144
100500, 360.15, 360.9, 360.9, 360, 28.1247, 34.1219, 51.3117, 144.318, 353.452
101500, 360.95, 361.4, 361.4, 360.4, 50.9089, 33.9394, 38.3785, 162.387, 358.969
102500, 361.35, 360.85, 361.35, 360.4, 47.2229, 42.0855, 36.7156, 180.43, 360.787
103500, 360.85, 360.7, 361.25, 360.6, 43.7506, 47.2941, 41.1063, 198.465, 358.984
104500, 360.7, 360.25, 361.25, 360.2, 17.8572, 36.2769, 41.8855, 216.477, 353.485
105500, 360.25, 360.35, 360.85, 360.15, 16.001, 25.8696, 36.4802, 234.495, 344.133
110500, 360.3, 360.25, 360.5, 359.95, 21.4278, 18.4287, 26.8584, 252.507, 330.599
111500, 360.2, 360.55, 360.75, 360.2, 46.1524, 27.8604, 24.0529, 270.535, 312.375
112500, 360.6, 360.85, 360.95, 360.45, 69.2309, 45.6037, 30.6309, 288.577, 288.563
113500, 360.85, 360.25, 360.85, 360.2, 29.9988, 48.4607, 40.6416, 306.59, 257.584
114500, 360.3, 360.55, 360.7, 360.25, 59.9976, 53.0758, 49.0467, 324.617, 216.41
115500, 360.5, 359.65, 360.5, 359.5, 10.3443, 33.4469, 44.9945, 342.6, 157.204
120500, 359.65, 358.95, 359.65, 358.9, 2.4399, 24.2606, 36.9277, 360.548, 1.7348
121500, 359, 358.95, 359.1, 358.5, 19.1494, 10.6445, 22.784, 360.583, 1.63949
122500, 358.9, 359.25, 359.55, 358.9, 34.0907, 18.56, 17.8217, 360.558, 1.67186
123500, 359.2, 359.05, 359.35, 358.85, 27.4994, 26.9132, 18.7059, 360.373, 1.726
124500, 359, 359.1, 359.2, 358.85, 52.1747, 37.9216, 27.7983, 360.208, 1.54829
125500, 359.1, 358.85, 359.1, 358.6, 33.3343, 37.6695, 34.1681, 360.078, 1.5286
130500, 358.85, 358, 358.95, 357.95, 3.12428, 29.5444, 35.0452, 359.943, 1.66147
131500, 358, 358.25, 358.35, 357.9, 24.1381, 20.1989, 29.1376, 359.847, 1.81144
132500, 358.3, 358.4, 358.65, 358.2, 38.461, 21.9078, 23.8837, 359.723, 1.88503
133500, 358.4, 358.45, 358.45, 358.15, 45.8344, 36.1445, 26.0837, 359.575, 1.88168
134500, 358.4, 358.8, 358.9, 358.4, 85.7122, 56.6692, 38.2405, 359.473, 1.83149
135500, 358.8, 358.55, 358.8, 358.25, 64.9994, 65.5153, 52.7764, 359.365, 1.77083
140500, 358.55, 358.75, 359.1, 358.5, 63.1577, 71.2898, 64.4914, 359.29, 1.70447
141500, 358.8, 359.05, 359.15, 358.6, 89.9994, 72.7188, 69.8413, 359.225, 1.62797
142500, 359.05, 358.75, 359.1, 358.6, 55.5559, 69.571, 71.1932, 359.15, 1.5706
143500, 358.8, 358.8, 359.05, 358.6, 61.1102, 68.8885, 70.3928, 359.063, 1.45145
144500, 358.8, 359.5, 359.55, 358.65, 95.2392, 70.6351, 69.6982, 358.995, 1.23701
145500, 359.45, 359.85, 360, 359.25, 89.2861, 81.8785, 73.8007, 358.975, 1.10144
150500, 359.9, 359.4, 359.9, 359.35, 57.1422, 80.5558, 77.6898, 358.918, 0.895807
151500, 359.35, 359.55, 359.6, 359.1, 67.8561, 71.4282, 77.9542, 358.913, 0.8155
152500, 359.55, 359.6, 360, 359.45, 70.371, 65.1231, 72.369, 358.945, 0.878845
153500, 359.55, 358.95, 359.7, 358.9, 4.54709, 47.5914, 61.3809, 358.945, 0.884265
154500, 359.15, 359.15, 359.2, 358.9, 22.7271, 32.5484, 48.421, 358.94, 0.876772
