시간, 시가, 종가, 고가, 저가,  Width, SMA(20), SD(20)
084600, 364.9, 365.6, 365.75, 364.55, 0.700012, 318.709, 254.506
084700, 365.65, 365.55, 365.8, 365.3, -0.100006, 318.659, 254.469
084800, 365.55, 365.25, 365.75, 365.25, -0.299988, 318.606, 254.427
084900, 365.25, 364.5, 365.25, 364.4, -0.75, 318.542, 254.379
085000, 364.5, 364.5, 364.75, 364.2, 0, 318.479, 254.331
085100, 364.5, 364.45, 364.8, 364.3, -0.0499878, 318.417, 254.283
085200, 364.4, 364.35, 364.4, 363.9, -0.0499878, 318.354, 254.235
085300, 364.4, 364.7, 364.75, 364.4, 0.300018, 318.294, 254.189
085400, 364.7, 364.3, 364.75, 364.15, -0.400024, 318.229, 254.139
085500, 364.25, 364, 364.45, 363.6, -0.25, 318.162, 254.088
085600, 364, 364.2, 364.25, 363.8, 0.200012, 318.096, 254.038
085700, 364.2, 364.25, 364.3, 364.05, 0.0499878, 318.031, 253.988
085800, 364.3, 364.5, 364.55, 364.15, 0.200012, 317.969, 253.94
085900, 364.5, 364.35, 364.55, 364.3, -0.149994, 317.906, 253.891
090000, 364.4, 364.6, 364.7, 364.25, 0.200012, 317.845, 253.844
090100, 364.6, 364.8, 365.7, 364.4, 0.199982, 317.787, 253.8
090200, 364.8, 365.6, 365.65, 364.6, 0.800018, 317.74, 253.762
090300, 365.6, 366.7, 366.7, 365.55, 1.10001, 317.708, 253.737
090400, 366.7, 366.35, 367, 366.2, -0.350006, 317.672, 253.708
090500, 366.35, 366.05, 366.4, 365.45, -0.300018, 317.629, 253.675
090600, 366.05, 365.65, 366.35, 365.6, -0.399994, 317.583, 253.639
090700, 365.65, 366.2, 366.4, 365.5, 0.550018, 317.542, 253.606
090800, 366.25, 366.3, 366.65, 366.25, 0.0499878, 317.504, 253.576
090900, 366.35, 366.2, 366.35, 366.1, -0.149994, 317.464, 253.544
091000, 366.25, 366.05, 366.35, 365.95, -0.200012, 317.422, 253.511
091100, 366.05, 366.25, 366.25, 365.8, 0.200012, 317.382, 253.479
091200, 366.25, 366.3, 366.35, 366, 0.0499878, 317.344, 253.449
091300, 366.3, 366.25, 366.6, 366.15, -0.0499878, 317.304, 253.417
091400, 366.3, 366.15, 366.4, 365.95, -0.149994, 317.262, 253.384
091500, 366.15, 366.15, 366.2, 366, 0, 317.219, 253.349
091600, 366.15, 366.35, 366.45, 366.1, 0.200012, 317.176, 253.314
091700, 366.4, 366.2, 366.5, 366.2, -0.199982, 317.132, 253.279
091800, 366.2, 366.3, 366.4, 366.1, 0.0999756, 317.089, 253.244
091900, 366.35, 366.65, 366.65, 366.25, 0.299988, 317.051, 253.213
092000, 366.6, 366.85, 366.95, 366.55, 0.25, 317.014, 253.184
092100, 366.85, 366.25, 366.9, 366.1, -0.600006, 316.971, 253.149
092200, 366.25, 366.3, 366.4, 366.15, 0.0499878, 316.93, 253.116
092300, 366.3, 366.55, 366.55, 366.3, 0.25, 316.891, 253.084
092400, 366.6, 366.65, 366.65, 366.45, 0.0499878, 316.852, 253.053
092500, 366.7, 367.4, 367.4, 366.6, 0.699982, 316.823, 253.029
092600, 367.4, 367.3, 367.5, 367, -0.100006, 316.792, 253.004
092700, 367.3, 367.45, 367.5, 367.2, 0.150024, 316.764, 252.981
092800, 367.45, 367.1, 367.5, 367.1, -0.350006, 316.731, 252.954
092900, 367.1, 367.05, 367.25, 367, -0.0500183, 316.698, 252.927
093000, 367.05, 367.1, 367.15, 366.95, 0.0500183, 316.666, 252.9
093100, 367.1, 367.1, 367.15, 367, 0, 316.634, 252.875
093200, 367.1, 367.4, 367.4, 367.1, 0.299988, 316.607, 252.852
093300, 367.4, 367.45, 367.5, 367.25, 0.0500183, 316.581, 252.831
093400, 367.5, 367.25, 367.6, 367.2, -0.25, 316.552, 252.807
093500, 367.25, 367.4, 367.45, 367.2, 0.149994, 316.524, 252.785
093600, 367.4, 367.45, 367.6, 367.35, 0.0500183, 316.497, 252.762
093700, 367.45, 367.35, 367.55, 367.35, -0.100006, 316.469, 252.739
093800, 367.35, 367.4, 367.4, 367.25, 0.0499878, 316.442, 252.717
093900, 367.4, 367.4, 367.6, 367.35, 0, 316.416, 252.696
094000, 367.45, 367.3, 367.5, 367.3, -0.150024, 316.39, 252.674
094100, 367.35, 367.35, 367.5, 367.1, 0, 316.362, 252.651
094200, 367.35, 367.25, 367.45, 367.15, -0.100006, 316.334, 252.628
094300, 367.25, 367.25, 367.3, 367.05, 0, 316.306, 252.604
094400, 367.25, 367.35, 367.4, 367.2, 0.100006, 316.277, 252.581
094500, 367.4, 367.8, 367.8, 367.4, 0.399994, 316.253, 252.561
094600, 367.8, 367.65, 367.85, 367.6, -0.149994, 316.227, 252.54
094700, 367.7, 367.9, 367.95, 367.65, 0.199982, 316.206, 252.521
094800, 367.95, 367.95, 368.1, 367.85, 0, 316.185, 252.504
094900, 367.95, 368, 368.05, 367.85, 0.0499878, 316.164, 252.487
095000, 368.05, 368.05, 368.15, 367.95, 0, 316.142, 252.468
095100, 368.1, 368.2, 368.3, 368.05, 0.100006, 316.121, 252.45
095200, 368.15, 368.05, 368.2, 368.05, -0.100006, 316.097, 252.431
095300, 368.05, 368.3, 368.35, 368.05, 0.25, 316.078, 252.415
095400, 368.35, 368.4, 368.45, 368.2, 0.0499878, 316.057, 252.397
095500, 368.4, 368.4, 368.5, 368.3, 0, 320.662, 242.409
095600, 368.45, 368.6, 368.65, 368.45, 0.149994, 325.27, 231.626
095700, 368.6, 368.5, 368.65, 368.45, -0.100006, 329.876, 219.93
095800, 368.45, 368.55, 368.65, 368.45, 0.0999756, 334.483, 207.167
095900, 368.55, 368.6, 368.75, 368.5, 0.0500183, 339.091, 193.126
100000, 368.65, 368.6, 368.65, 368.4, -0.0499878, 343.698, 177.502
100100, 368.55, 368.8, 368.85, 368.5, 0.25, 348.308, 159.835
100200, 368.85, 368.95, 369.1, 368.8, 0.100006, 352.92, 139.347
100300, 369, 369, 369, 368.85, 0, 357.533, 114.533
100400, 368.95, 369.05, 369.1, 368.95, 0.0999756, 362.146, 81.5336
100500, 369.05, 369, 369.15, 368.95, -0.0499878, 366.758, 2.73964
100600, 369, 369.35, 369.35, 369, 0.350006, 366.805, 2.78669
100700, 369.3, 369.35, 369.4, 369.2, 0.0500183, 366.852, 2.82873
100800, 369.35, 369.4, 369.5, 369.3, 0.0499878, 366.904, 2.8613
100900, 369.4, 369.3, 369.5, 369.3, -0.100006, 366.964, 2.85841
101000, 369.3, 369.45, 369.5, 369.3, 0.150024, 367.026, 2.85666
101100, 369.45, 369.1, 369.45, 369.1, -0.350006, 367.084, 2.83375
101200, 369.1, 369.15, 369.25, 369.1, 0.0499878, 367.144, 2.80272
101300, 369.1, 369.3, 369.4, 369.05, 0.199982, 367.202, 2.78848
101400, 369.3, 369.35, 369.35, 369.15, 0.0500183, 367.265, 2.75124
101500, 369.35, 369.3, 369.35, 369.1, -0.0500183, 367.331, 2.68809
101600, 369.3, 369.35, 369.45, 369.25, 0.0500183, 367.396, 2.63112
101700, 369.35, 369.35, 369.35, 369.1, 0, 367.459, 2.56959
101800, 369.3, 369.3, 369.35, 369.15, 0, 367.519, 2.51394
101900, 369.35, 369.2, 369.5, 369.2, -0.149994, 367.58, 2.43806
102000, 369.2, 369.25, 369.3, 369.15, 0.0499878, 367.638, 2.37193
102100, 369.2, 369.15, 369.25, 369.05, -0.0500183, 367.693, 2.30776
102200, 369.2, 369.1, 369.35, 369, -0.100006, 367.736, 2.27997
102300, 369.1, 369.2, 369.25, 369.1, 0.100006, 367.768, 2.2908
102400, 369.2, 369.3, 369.35, 369.1, 0.0999756, 367.804, 2.29332
102500, 369.3, 369.2, 369.3, 369.15, -0.0999756, 367.844, 2.27961
102600, 369.25, 369.4, 369.45, 369.2, 0.149994, 367.891, 2.25128
102700, 369.45, 369.55, 369.55, 369.25, 0.0999756, 367.933, 2.24856
102800, 369.55, 369.35, 369.6, 369.35, -0.199982, 367.971, 2.23996
102900, 369.35, 369.5, 369.5, 369.3, 0.149994, 368.012, 2.22953
103000, 369.5, 369.45, 369.6, 369.4, -0.0499878, 368.054, 2.20784
103100, 369.5, 369.35, 369.5, 369.25, -0.149994, 368.093, 2.18854
103200, 369.3, 368.9, 369.3, 368.85, -0.399994, 368.126, 2.15807
103300, 368.9, 368.85, 369.1, 368.85, -0.0499878, 368.158, 2.12211
103400, 368.85, 368.9, 368.9, 368.75, 0.0499878, 368.193, 2.07955
103500, 368.9, 369, 369, 368.8, 0.100006, 368.228, 2.03555
103600, 369, 368.75, 369, 368.7, -0.25, 368.258, 1.99427
103700, 368.75, 368.75, 368.8, 368.7, 0, 368.29, 1.94251
103800, 368.75, 368.85, 368.95, 368.75, 0.100006, 368.322, 1.89393
103900, 368.85, 369.2, 369.2, 368.8, 0.350006, 368.354, 1.86593
104000, 369.15, 369.1, 369.2, 369, -0.0499878, 368.382, 1.8421
104100, 369.05, 369.15, 369.2, 368.95, 0.100006, 368.418, 1.78615
104200, 369.15, 368.8, 369.2, 368.8, -0.350006, 368.449, 1.72319
104300, 368.8, 368.9, 368.9, 368.75, 0.100006, 368.479, 1.67203
104400, 368.9, 368.95, 369.05, 368.9, 0.0500183, 368.508, 1.62366
104500, 368.95, 369.3, 369.35, 368.95, 0.349976, 368.531, 1.61372
104600, 369.25, 369.35, 369.35, 369.15, 0.100006, 368.557, 1.59975
104700, 369.35, 368.95, 369.35, 368.95, -0.399994, 368.576, 1.58248
104800, 368.9, 369.05, 369.1, 368.85, 0.149994, 368.6, 1.55057
104900, 369.1, 369.05, 369.15, 369.05, -0.0500183, 368.625, 1.51385
105000, 369.05, 369.2, 369.25, 369, 0.150024, 368.651, 1.47961
105100, 369.2, 369.2, 369.2, 369.1, 0, 368.678, 1.44265
105200, 369.25, 369.2, 369.25, 369.15, -0.0499878, 368.7, 1.41819
105300, 369.15, 369, 369.2, 369, -0.149994, 368.719, 1.39145
105400, 369, 369.15, 369.2, 369, 0.149994, 368.743, 1.35469
105500, 369.15, 369.2, 369.2, 369.1, 0.0500183, 368.766, 1.32416
105600, 369.2, 369.6, 369.65, 369.2, 0.399994, 368.793, 1.30337
105700, 369.6, 369.65, 369.75, 369.55, 0.0499878, 368.821, 1.27601
105800, 369.65, 369.45, 369.7, 369.45, -0.199982, 368.847, 1.24272
105900, 369.45, 369.5, 369.6, 369.35, 0.0499878, 368.873, 1.20758
110000, 369.5, 369.65, 369.7, 369.5, 0.149994, 368.903, 1.16672
110100, 369.65, 369.55, 369.65, 369.45, -0.100006, 368.93, 1.1219
110200, 369.55, 369.5, 369.55, 369.5, -0.0499878, 368.958, 1.0633
110300, 369.55, 369.7, 369.75, 369.55, 0.150024, 368.989, 1.00424
110400, 369.7, 369.6, 369.7, 369.55, -0.100006, 369.017, 0.943262
110500, 369.55, 369.7, 369.7, 369.5, 0.150024, 369.041, 0.914756
110600, 369.65, 369.6, 369.65, 369.5, -0.0499878, 369.065, 0.86796
110700, 369.6, 369.75, 369.75, 369.55, 0.149994, 369.088, 0.840723
110800, 369.75, 369.7, 369.8, 369.7, -0.0499878, 369.11, 0.8117
110900, 369.7, 369.55, 369.8, 369.5, -0.150024, 369.129, 0.778093
111000, 369.6, 369.6, 369.7, 369.55, 0, 369.149, 0.746156
111100, 369.6, 369.3, 369.6, 369.3, -0.300018, 369.163, 0.715633
111200, 369.3, 369.15, 369.3, 369.15, -0.149994, 369.176, 0.670446
111300, 369.15, 369.1, 369.15, 369.05, -0.0499878, 369.186, 0.64109
111400, 369.1, 369.15, 369.2, 369, 0.0499878, 369.196, 0.61628
111500, 369.15, 369.2, 369.25, 369.15, 0.0500183, 369.206, 0.589704
111600, 369.15, 369.15, 369.2, 369.05, 0, 369.212, 0.573914
111700, 369.2, 369.2, 369.2, 369.15, 0, 369.221, 0.551086
111800, 369.2, 369.25, 369.4, 369.2, 0.0499878, 369.23, 0.530001
111900, 369.25, 369.15, 369.25, 369.15, -0.100006, 369.237, 0.511065
112000, 369.2, 369.25, 369.25, 369.15, 0.0499878, 369.245, 0.490563
112100, 369.25, 369.15, 369.3, 369.15, -0.100006, 369.249, 0.480755
112200, 369.15, 369.2, 369.25, 369.1, 0.0500183, 369.253, 0.476158
112300, 369.25, 369.15, 369.25, 369.15, -0.100006, 369.254, 0.473339
112400, 369.15, 369.35, 369.35, 369.15, 0.200012, 369.258, 0.471553
112500, 369.3, 369.4, 369.4, 369.2, 0.100006, 369.263, 0.468975
112600, 369.35, 369.3, 369.4, 369.25, -0.0500183, 369.263, 0.468643
112700, 369.35, 369.4, 369.45, 369.3, 0.0499878, 369.263, 0.469241
112800, 369.4, 369.4, 369.4, 369.3, 0, 369.263, 0.469241
112900, 369.4, 369.5, 369.5, 369.4, 0.100006, 369.266, 0.472123
113000, 369.5, 369.3, 369.5, 369.25, -0.200012, 369.264, 0.470367
113100, 369.3, 369.25, 369.3, 369.15, -0.0499878, 369.266, 0.468934
