시간, 시가, 종가, 고가, 저가, Width, SMA(20), SD(20)
084600, 373, 372.8, 373.35, 372.7, -0.200012, 369.622, 0.783713
084700, 372.85, 372.55, 372.9, 372.55, -0.300018, 369.658, 1.01859
084800, 372.6, 372.3, 372.6, 372.3, -0.300018, 369.691, 1.1757
084900, 372.3, 372.7, 372.8, 372.3, 0.400024, 369.73, 1.35199
085000, 372.7, 372.45, 372.7, 372.35, -0.25, 369.766, 1.4805
085100, 372.45, 372.3, 372.5, 372.3, -0.150024, 369.8, 1.58303
085200, 372.35, 372.4, 372.55, 372.3, 0.0499878, 369.835, 1.68437
085300, 372.45, 372.45, 372.45, 372.25, 0, 369.871, 1.78078
085400, 372.4, 372.35, 372.5, 372.35, -0.0499878, 369.906, 1.86239
085500, 372.4, 372.15, 372.4, 372.15, -0.25, 369.938, 1.92609
